inst#,actual,predicted,error,prediction
1,2:-,2:-,,0.629
2,2:-,1:+,+,0.921
3,2:-,2:-,,1
4,2:-,2:-,,1
5,2:-,2:-,,1
6,2:-,2:-,,1
7,2:-,2:-,,1
8,2:-,2:-,,1
9,1:+,2:-,+,1
10,2:-,2:-,,1
11,2:-,1:+,+,1
12,2:-,2:-,,1
13,2:-,2:-,,0.683
14,2:-,2:-,,1
15,2:-,2:-,,1
16,2:-,1:+,+,1
17,2:-,1:+,+,1
18,2:-,2:-,,1
19,2:-,1:+,+,1
20,2:-,1:+,+,1
21,2:-,2:-,,1
22,1:+,2:-,+,1
23,2:-,1:+,+,0.915
24,2:-,2:-,,1
25,2:-,2:-,,1
26,2:-,1:+,+,1
27,2:-,1:+,+,1
28,2:-,2:-,,1
29,2:-,2:-,,1
30,2:-,2:-,,1
31,1:+,2:-,+,0.996
32,2:-,2:-,,1
33,2:-,2:-,,1
34,2:-,2:-,,1
35,2:-,2:-,,1
36,2:-,2:-,,1
37,2:-,2:-,,1
38,2:-,2:-,,0.843
39,2:-,2:-,,1
40,2:-,2:-,,1
41,1:+,2:-,+,1
42,2:-,2:-,,1
43,2:-,2:-,,1
44,1:+,2:-,+,1
45,2:-,2:-,,1
46,2:-,1:+,+,0.941
47,2:-,2:-,,0.911
48,2:-,2:-,,1
49,2:-,2:-,,1
50,2:-,1:+,+,1
51,1:+,2:-,+,1
52,2:-,1:+,+,1
53,2:-,2:-,,1
54,2:-,1:+,+,0.991
55,2:-,2:-,,1
56,2:-,2:-,,1
57,2:-,2:-,,1
58,2:-,2:-,,1
59,2:-,2:-,,1
60,2:-,2:-,,0.999
61,2:-,2:-,,1
62,2:-,2:-,,1
63,2:-,2:-,,1
64,2:-,2:-,,0.969
65,2:-,2:-,,1
66,2:-,2:-,,1
67,2:-,1:+,+,1
68,2:-,2:-,,0.982
69,2:-,2:-,,1
70,1:+,2:-,+,1
71,2:-,1:+,+,1
72,2:-,1:+,+,1
73,2:-,1:+,+,0.998
74,2:-,2:-,,1
75,2:-,2:-,,1
76,2:-,2:-,,1
77,2:-,2:-,,1
78,2:-,2:-,,1
79,2:-,1:+,+,1
80,1:+,2:-,+,0.676
81,2:-,2:-,,1
82,2:-,2:-,,1
83,2:-,2:-,,1
84,2:-,2:-,,1
85,2:-,2:-,,1
86,2:-,2:-,,1
87,2:-,2:-,,1
88,2:-,2:-,,1
89,2:-,2:-,,1
90,2:-,2:-,,1
91,2:-,1:+,+,0.928
92,2:-,1:+,+,1
93,2:-,2:-,,0.986
94,2:-,1:+,+,0.95
95,2:-,2:-,,1
96,2:-,2:-,,1
97,2:-,2:-,,1
98,2:-,2:-,,1
99,2:-,2:-,,1
100,2:-,2:-,,1
101,2:-,2:-,,1
102,2:-,2:-,,1
103,2:-,2:-,,1
104,2:-,2:-,,1
105,2:-,2:-,,1
106,2:-,2:-,,1
107,2:-,2:-,,1
108,2:-,2:-,,1
109,2:-,2:-,,1
110,2:-,1:+,+,1
111,2:-,2:-,,1
112,2:-,2:-,,0.996
113,2:-,1:+,+,1
114,2:-,2:-,,1
115,2:-,2:-,,1
116,2:-,2:-,,0.999
117,2:-,1:+,+,1
118,2:-,2:-,,1
119,2:-,2:-,,1
120,2:-,2:-,,1
121,2:-,2:-,,1
122,2:-,2:-,,1
123,2:-,2:-,,1
124,2:-,2:-,,1
125,2:-,2:-,,1
126,1:+,1:+,,1
127,2:-,1:+,+,1
128,1:+,2:-,+,1
129,2:-,2:-,,0.998
130,1:+,2:-,+,1
131,2:-,2:-,,1
132,2:-,1:+,+,1
133,2:-,2:-,,1
134,2:-,2:-,,1
135,2:-,2:-,,1
136,2:-,1:+,+,1
137,2:-,1:+,+,1
138,2:-,1:+,+,1
139,2:-,2:-,,1
140,2:-,2:-,,1
141,2:-,2:-,,1
142,2:-,2:-,,1
143,2:-,1:+,+,1
144,2:-,2:-,,1
145,2:-,2:-,,1
146,2:-,1:+,+,1
147,2:-,2:-,,1
148,2:-,2:-,,1
149,2:-,2:-,,1
150,2:-,1:+,+,1
151,2:-,2:-,,1
152,1:+,2:-,+,1
153,1:+,2:-,+,1
154,2:-,2:-,,1
155,2:-,1:+,+,1
156,2:-,2:-,,1
157,2:-,2:-,,0.998
