inst#,actual,predicted,error,prediction
1,2:-,1:+,+,0.955
2,2:-,2:-,,0.966
3,2:-,2:-,,0.975
4,2:-,2:-,,0.541
5,2:-,2:-,,0.853
6,2:-,2:-,,0.508
7,2:-,2:-,,1
8,2:-,2:-,,0.944
9,1:+,2:-,+,0.956
10,2:-,2:-,,0.958
11,2:-,2:-,,0.872
12,2:-,2:-,,0.79
13,2:-,1:+,+,0.541
14,2:-,2:-,,0.994
15,2:-,2:-,,0.999
16,2:-,1:+,+,0.942
17,2:-,1:+,+,0.669
18,2:-,2:-,,0.987
19,2:-,1:+,+,0.943
20,2:-,1:+,+,0.999
21,2:-,2:-,,1
22,1:+,2:-,+,0.999
23,2:-,1:+,+,0.892
24,2:-,2:-,,0.903
25,2:-,2:-,,1
26,2:-,1:+,+,0.794
27,2:-,2:-,,0.821
28,2:-,2:-,,1
29,2:-,2:-,,0.989
30,2:-,2:-,,1
31,1:+,2:-,+,0.831
32,2:-,2:-,,0.937
33,2:-,1:+,+,0.675
34,2:-,2:-,,0.8
35,2:-,1:+,+,0.893
36,2:-,2:-,,0.997
37,2:-,2:-,,0.971
38,2:-,2:-,,0.773
39,2:-,1:+,+,0.94
40,2:-,2:-,,0.902
41,1:+,2:-,+,0.978
42,2:-,2:-,,0.997
43,2:-,2:-,,0.938
44,1:+,2:-,+,0.917
45,2:-,2:-,,0.604
46,2:-,1:+,+,0.998
47,2:-,1:+,+,0.794
48,2:-,2:-,,0.995
49,2:-,2:-,,0.639
50,2:-,2:-,,0.978
51,1:+,2:-,+,0.795
52,2:-,2:-,,0.76
53,2:-,2:-,,0.999
54,2:-,2:-,,0.997
55,2:-,2:-,,1
56,2:-,2:-,,0.974
57,2:-,2:-,,0.968
58,2:-,1:+,+,0.87
59,2:-,2:-,,0.522
60,2:-,2:-,,0.99
61,2:-,2:-,,1
62,2:-,2:-,,0.836
63,2:-,2:-,,0.896
64,2:-,2:-,,0.984
65,2:-,2:-,,0.802
66,2:-,2:-,,1
67,2:-,2:-,,0.545
68,2:-,1:+,+,0.619
69,2:-,2:-,,0.958
70,1:+,2:-,+,0.856
71,2:-,2:-,,1
72,2:-,2:-,,0.697
73,2:-,1:+,+,0.753
74,2:-,2:-,,0.986
75,2:-,2:-,,0.935
76,2:-,2:-,,0.992
77,2:-,2:-,,0.747
78,2:-,2:-,,0.784
79,2:-,1:+,+,1
80,1:+,1:+,,0.538
81,2:-,2:-,,0.893
82,2:-,2:-,,0.986
83,2:-,2:-,,0.989
84,2:-,2:-,,0.909
85,2:-,1:+,+,0.612
86,2:-,2:-,,1
87,2:-,2:-,,0.991
88,2:-,2:-,,0.899
89,2:-,2:-,,0.734
90,2:-,2:-,,0.552
91,2:-,2:-,,0.944
92,2:-,1:+,+,0.577
93,2:-,2:-,,0.935
94,2:-,2:-,,0.979
95,2:-,2:-,,0.939
96,2:-,2:-,,0.998
97,2:-,2:-,,0.999
98,2:-,2:-,,0.927
99,2:-,2:-,,1
100,2:-,2:-,,0.997
101,2:-,2:-,,1
102,2:-,2:-,,0.797
103,2:-,2:-,,0.513
104,2:-,2:-,,0.998
105,2:-,2:-,,1
106,2:-,2:-,,0.714
107,2:-,2:-,,1
108,2:-,2:-,,1
109,2:-,2:-,,1
110,2:-,2:-,,0.698
111,2:-,2:-,,0.986
112,2:-,2:-,,0.792
113,2:-,2:-,,0.998
114,2:-,2:-,,0.999
115,2:-,1:+,+,0.77
116,2:-,2:-,,0.738
117,2:-,2:-,,0.994
118,2:-,2:-,,0.987
119,2:-,2:-,,0.685
120,2:-,1:+,+,0.626
121,2:-,2:-,,0.893
122,2:-,2:-,,0.826
123,2:-,2:-,,0.924
124,2:-,2:-,,1
125,2:-,2:-,,1
126,1:+,2:-,+,0.942
127,2:-,1:+,+,0.764
128,1:+,2:-,+,1
129,2:-,2:-,,0.679
130,1:+,2:-,+,0.957
131,2:-,2:-,,1
132,2:-,1:+,+,0.53
133,2:-,2:-,,0.98
134,2:-,2:-,,0.967
135,2:-,2:-,,0.933
136,2:-,2:-,,0.997
