inst#,actual,predicted,error,prediction
1,2:-,2:-,,0.725
2,2:-,2:-,,0.859
3,2:-,2:-,,1
4,2:-,2:-,,0.849
5,2:-,2:-,,0.705
6,2:-,2:-,,0.995
7,2:-,2:-,,0.817
8,2:-,2:-,,0.691
9,2:-,2:-,,0.995
10,2:-,2:-,,0.944
11,2:-,2:-,,0.515
12,2:-,2:-,,0.921
13,2:-,2:-,,0.551
14,2:-,1:+,+,0.692
15,2:-,2:-,,0.944
16,2:-,2:-,,0.821
17,2:-,2:-,,0.791
18,2:-,2:-,,0.999
19,2:-,2:-,,0.9
20,2:-,1:+,+,0.738
21,2:-,1:+,+,0.578
22,2:-,2:-,,0.858
23,2:-,2:-,,0.999
24,2:-,2:-,,0.795
25,2:-,2:-,,0.658
26,2:-,2:-,,0.788
27,2:-,1:+,+,0.705
28,2:-,2:-,,0.899
29,2:-,1:+,+,0.509
30,2:-,2:-,,0.939
31,2:-,2:-,,0.974
32,2:-,2:-,,0.799
33,2:-,2:-,,0.946
34,2:-,2:-,,0.642
35,2:-,2:-,,0.552
36,2:-,1:+,+,0.706
37,2:-,2:-,,0.998
38,2:-,1:+,+,0.715
39,2:-,2:-,,0.999
40,2:-,1:+,+,0.583
41,2:-,2:-,,0.91
42,2:-,1:+,+,0.646
43,2:-,2:-,,1
44,2:-,2:-,,0.809
45,2:-,2:-,,0.941
46,2:-,2:-,,0.979
47,2:-,2:-,,0.536
48,2:-,2:-,,0.999
49,2:-,2:-,,0.976
50,2:-,2:-,,0.779
51,2:-,1:+,+,0.562
52,2:-,2:-,,0.799
53,2:-,2:-,,0.883
54,2:-,2:-,,0.536
55,2:-,2:-,,0.513
56,2:-,2:-,,0.919
57,2:-,2:-,,0.747
58,2:-,1:+,+,0.58
59,2:-,2:-,,0.961
60,2:-,2:-,,0.998
61,2:-,2:-,,0.801
62,2:-,1:+,+,0.552
63,2:-,2:-,,0.668
64,2:-,2:-,,0.997
65,2:-,2:-,,0.637
66,2:-,2:-,,0.761
67,2:-,2:-,,0.936
68,2:-,2:-,,0.998
69,2:-,2:-,,1
70,2:-,2:-,,0.653
71,2:-,2:-,,0.954
72,2:-,2:-,,0.537
73,2:-,2:-,,0.953
74,2:-,2:-,,0.731
75,2:-,2:-,,0.675
76,2:-,1:+,+,0.715
77,2:-,2:-,,0.705
78,2:-,1:+,+,0.818
79,2:-,2:-,,0.979
80,2:-,2:-,,0.912
81,2:-,2:-,,0.917
82,2:-,2:-,,0.951
83,2:-,1:+,+,0.831
84,2:-,2:-,,0.912
85,2:-,2:-,,0.87
86,2:-,2:-,,0.999
87,2:-,2:-,,0.978
88,2:-,2:-,,0.993
89,2:-,1:+,+,0.577
90,2:-,1:+,+,0.737
91,2:-,2:-,,0.824
92,2:-,2:-,,0.525
93,2:-,2:-,,0.608
94,2:-,2:-,,0.512
95,2:-,2:-,,0.918
96,2:-,1:+,+,0.932
97,2:-,2:-,,0.858
98,2:-,2:-,,0.93
99,2:-,2:-,,0.999
100,2:-,1:+,+,0.536
101,2:-,1:+,+,0.511
102,2:-,2:-,,0.934
103,2:-,2:-,,0.997
104,2:-,2:-,,0.646
105,2:-,2:-,,0.685
106,2:-,1:+,+,0.517
107,2:-,2:-,,0.696
108,2:-,2:-,,0.741
109,2:-,2:-,,0.875
110,2:-,2:-,,0.814
111,2:-,2:-,,0.918
112,2:-,2:-,,0.801
113,2:-,2:-,,0.998
114,2:-,1:+,+,0.561
115,2:-,1:+,+,0.759
116,2:-,2:-,,0.842
117,2:-,2:-,,0.692
118,2:-,2:-,,0.6
119,2:-,2:-,,0.882
120,2:-,2:-,,0.801
121,2:-,2:-,,0.705
122,2:-,2:-,,0.758
123,2:-,2:-,,0.655
124,2:-,2:-,,0.926
125,2:-,2:-,,0.894
126,2:-,2:-,,0.884
127,2:-,1:+,+,0.899
128,2:-,1:+,+,0.753
129,2:-,2:-,,0.985
130,2:-,2:-,,0.56
131,2:-,1:+,+,0.824
132,2:-,1:+,+,0.606
133,2:-,2:-,,0.749
134,2:-,1:+,+,0.933
135,2:-,2:-,,0.824
136,2:-,2:-,,1
137,2:-,2:-,,0.998
138,2:-,2:-,,0.927
139,2:-,2:-,,0.934
140,2:-,2:-,,0.806
141,2:-,2:-,,0.995
142,2:-,2:-,,0.768
143,2:-,2:-,,0.838
144,2:-,2:-,,0.649
145,2:-,2:-,,0.89
146,2:-,1:+,+,0.855
147,2:-,1:+,+,0.628
148,2:-,2:-,,0.676
149,2:-,2:-,,0.934
150,2:-,1:+,+,0.7
151,2:-,1:+,+,0.675
152,2:-,2:-,,0.859
153,2:-,2:-,,0.563
154,2:-,1:+,+,0.738
155,2:-,2:-,,0.908
156,2:-,2:-,,0.913
157,2:-,2:-,,0.672
158,2:-,1:+,+,0.705
159,2:-,1:+,+,0.561
160,2:-,2:-,,0.867
161,2:-,2:-,,0.813
162,2:-,2:-,,0.905
163,2:-,2:-,,0.75
164,2:-,2:-,,0.58
165,2:-,2:-,,0.998
166,2:-,2:-,,0.772
167,2:-,2:-,,0.803
168,2:-,1:+,+,0.604
169,2:-,2:-,,0.969
170,2:-,1:+,+,0.777
171,2:-,2:-,,0.887
172,2:-,2:-,,0.647
173,2:-,2:-,,0.847
174,2:-,2:-,,0.996
175,2:-,2:-,,0.931
176,2:-,2:-,,0.91
177,2:-,2:-,,0.999
178,2:-,2:-,,0.986
179,2:-,2:-,,0.914
180,2:-,2:-,,0.965
181,2:-,2:-,,0.56
182,2:-,2:-,,0.932
183,2:-,2:-,,0.727
184,2:-,2:-,,0.585
185,2:-,2:-,,0.662
186,2:-,2:-,,0.634
187,2:-,2:-,,0.639
188,2:-,2:-,,0.978
189,2:-,2:-,,0.786
190,2:-,2:-,,0.825
191,2:-,2:-,,0.575
192,2:-,2:-,,0.929
193,2:-,2:-,,0.935
194,2:-,2:-,,0.912
195,2:-,2:-,,1
196,2:-,2:-,,0.576
197,2:-,2:-,,0.93
198,2:-,1:+,+,0.754
199,2:-,1:+,+,0.534
200,2:-,2:-,,0.755
201,2:-,2:-,,0.729
202,2:-,1:+,+,0.773
203,2:-,2:-,,0.924
204,2:-,2:-,,0.528
205,2:-,2:-,,0.728
206,2:-,2:-,,0.796
207,2:-,2:-,,0.971
208,2:-,2:-,,0.616
209,2:-,2:-,,0.968
210,2:-,2:-,,0.621
211,2:-,2:-,,0.701
212,2:-,2:-,,0.829
213,2:-,2:-,,0.991
214,2:-,2:-,,0.992
215,2:-,2:-,,0.987
216,2:-,2:-,,0.944
217,2:-,2:-,,0.963
218,2:-,2:-,,0.723
219,2:-,2:-,,0.977
220,2:-,2:-,,0.637
221,2:-,2:-,,0.958
222,2:-,2:-,,0.999
223,2:-,2:-,,0.991
224,2:-,2:-,,0.954
225,2:-,2:-,,0.946
226,2:-,2:-,,0.992
227,2:-,2:-,,1
228,2:-,2:-,,0.999
229,2:-,2:-,,0.623
230,2:-,2:-,,0.822
231,2:-,2:-,,1
232,2:-,1:+,+,0.543
233,2:-,1:+,+,0.844
234,2:-,1:+,+,0.71
235,2:-,2:-,,0.829
236,2:-,2:-,,0.87
237,2:-,2:-,,1
238,2:-,2:-,,0.568
239,2:-,2:-,,1
240,2:-,2:-,,0.631
241,2:-,2:-,,0.601
242,2:-,2:-,,0.792
243,2:-,2:-,,0.698
244,2:-,2:-,,0.725
245,2:-,2:-,,0.928
246,2:-,1:+,+,0.575
247,2:-,2:-,,0.989
248,2:-,2:-,,1
249,2:-,2:-,,0.772
250,2:-,2:-,,0.54
251,2:-,1:+,+,0.522
252,2:-,2:-,,0.925
253,2:-,1:+,+,0.79
254,2:-,2:-,,0.909
255,2:-,2:-,,0.766
256,2:-,2:-,,0.981
257,2:-,1:+,+,0.751
258,2:-,2:-,,0.756
259,2:-,1:+,+,0.75
260,2:-,2:-,,0.84
261,2:-,2:-,,0.599
262,2:-,2:-,,0.518
263,2:-,1:+,+,0.725
264,2:-,2:-,,0.546
265,2:-,2:-,,0.915
266,2:-,2:-,,0.525
267,2:-,2:-,,0.924
268,2:-,1:+,+,0.538
269,2:-,1:+,+,0.718
270,2:-,2:-,,0.653
271,2:-,2:-,,0.926
272,2:-,2:-,,0.816
273,2:-,1:+,+,0.606
274,2:-,2:-,,0.927
275,2:-,2:-,,0.976
276,2:-,2:-,,0.606
277,2:-,2:-,,0.503
278,2:-,2:-,,0.527
279,2:-,2:-,,0.622
280,2:-,1:+,+,0.535
281,2:-,2:-,,0.904
282,2:-,2:-,,0.959
283,2:-,2:-,,0.992
284,2:-,2:-,,0.577
285,2:-,2:-,,0.926
286,2:-,2:-,,0.999
287,2:-,2:-,,0.672
288,2:-,1:+,+,0.849
289,2:-,1:+,+,0.633
290,2:-,2:-,,0.96
291,2:-,2:-,,0.724
292,2:-,2:-,,0.771
293,2:-,2:-,,0.569
294,2:-,2:-,,0.992
295,2:-,2:-,,0.645
296,2:-,2:-,,1
297,2:-,2:-,,0.532
298,2:-,2:-,,0.949
299,2:-,2:-,,0.995
300,2:-,1:+,+,0.792
301,2:-,2:-,,0.645
302,2:-,2:-,,0.763
303,2:-,1:+,+,0.744
304,2:-,2:-,,0.538
305,2:-,2:-,,0.999
306,2:-,2:-,,0.913
307,2:-,2:-,,0.815
308,2:-,2:-,,0.769
309,2:-,2:-,,0.532
310,2:-,2:-,,0.676
311,2:-,2:-,,0.562
312,2:-,1:+,+,0.885
313,2:-,2:-,,0.898
314,2:-,2:-,,0.705
315,2:-,2:-,,0.743
316,2:-,2:-,,0.775
317,2:-,2:-,,0.524
318,2:-,2:-,,1
319,2:-,2:-,,0.998
320,2:-,2:-,,0.702
321,2:-,1:+,+,0.604
322,2:-,2:-,,0.673
323,2:-,2:-,,0.641
324,2:-,2:-,,0.812
325,2:-,2:-,,0.976
326,2:-,2:-,,0.55
327,2:-,2:-,,0.823
328,2:-,2:-,,0.949
329,2:-,2:-,,0.888
330,2:-,2:-,,0.814
331,2:-,2:-,,1
332,2:-,2:-,,0.853
333,2:-,2:-,,0.842
334,2:-,1:+,+,0.549
335,2:-,2:-,,0.657
336,2:-,2:-,,0.87
337,2:-,2:-,,0.681
338,2:-,2:-,,0.555
339,2:-,1:+,+,0.632
340,2:-,1:+,+,0.513
341,2:-,2:-,,0.779
342,2:-,2:-,,0.857
343,2:-,2:-,,0.707
344,2:-,2:-,,0.816
345,2:-,2:-,,0.753
346,2:-,2:-,,0.713
347,2:-,2:-,,0.722
348,2:-,2:-,,0.867
349,2:-,1:+,+,0.627
350,2:-,2:-,,0.576
351,2:-,2:-,,0.889
352,2:-,2:-,,0.758
353,2:-,2:-,,0.79
354,2:-,1:+,+,0.611
355,2:-,2:-,,0.864
356,2:-,2:-,,0.984
357,2:-,2:-,,0.809
358,2:-,2:-,,0.995
359,2:-,2:-,,0.501
360,2:-,2:-,,0.805
361,2:-,2:-,,0.808
362,2:-,2:-,,0.938
363,2:-,2:-,,0.553
364,2:-,1:+,+,0.558
365,2:-,1:+,+,0.756
366,2:-,2:-,,0.604
367,2:-,2:-,,0.997
368,2:-,2:-,,1
369,2:-,2:-,,0.85
370,2:-,2:-,,0.757
371,2:-,2:-,,0.558
372,2:-,2:-,,0.657
373,2:-,2:-,,0.871
374,2:-,2:-,,0.996
375,2:-,2:-,,0.686
376,2:-,2:-,,0.981
377,2:-,2:-,,0.941
378,2:-,2:-,,0.857
379,2:-,2:-,,0.937
380,2:-,1:+,+,0.514
381,2:-,1:+,+,0.558
382,2:-,2:-,,0.73
383,2:-,2:-,,0.982
384,2:-,2:-,,0.546
385,2:-,2:-,,0.813
386,2:-,2:-,,0.925
387,2:-,2:-,,0.745
388,2:-,2:-,,0.982
389,2:-,1:+,+,0.687
390,2:-,2:-,,0.531
391,2:-,2:-,,0.973
392,2:-,2:-,,0.999
393,2:-,2:-,,0.934
394,2:-,2:-,,0.868
395,2:-,2:-,,0.856
396,2:-,2:-,,0.603
397,2:-,2:-,,0.926
398,2:-,2:-,,0.921
399,2:-,2:-,,0.773
400,2:-,2:-,,0.709
401,2:-,2:-,,0.973
402,2:-,2:-,,0.8
403,2:-,2:-,,0.717
404,2:-,2:-,,0.761
405,2:-,2:-,,1
406,2:-,2:-,,0.74
407,2:-,2:-,,0.61
